marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,review_length,length_bin,month,category
US,45450659,R2X2VCD6881DZG,B0079W9WZ6,318707260,And the Moonbeams Kissed the Sea,Digital_Video_Download,5,31,33,False,False,Cerebral crime procedural featuring lots of literary references and scenic Oxford,"Note: Amazon first made Series 3&4 available via streaming (free for Prime members) several months ago, and another fan of the series made it known to me that Series One and Two are now available via streaming (free for Prime members).<br /><br />Kevin Whately, the consummate actor who portrayed Chief Inspector Morse's (John Thaw) long-suffering Detective Sergeant Lewis on \""Inspector Morse\"", is now Detective Inspector Lewis in \""Inspector Lewis\"", a high quality investigative drama set in the academic town of Oxford, England.<br /><br />Having watched all of the Inspector Morse episodes, I can see the evolution of Lewis' character (brilliantly portrayed by Kevin Whately) from a diligent albeit lowly sergeant under the guidance of the amazing Chief Inspector Morse (John Thaw) to a confident, outspoken, yet still down to earth DI who now has his own underling in the form of the intellectual, gifted DS Hathaway (Lawrence Fox).<br /><br />Season 2 of Inspector Lewis is quite an engaging series, containing many interesting episodes featuring DI Lewis (Kevin Whately) and DS Hathaway (Lawrence Fox). Part of what makes Insp. Lewis a charming series for me is the banter between Lewis and the more cerebral, Cambridge-educated (in theology), Hathaway. There's lots to satisfy the discerning viewer in Season 2 - picturesque Oxford, literary references, and riveting plots, not to mention the excellent ensemble cast.<br />Season 2 contains the following episodes:<br /><br />And The Moonbeams Kiss the Sea - One of my favorites of all the Lewis episodes. This is not only well-written, but is also atmospheric. Lewis and Hathaway try to discover the link between two murders. One is of a maintenance worker at Oxford's Bodleain Library, and the other is of a popular art student. As they dig deeper, they find out that the two deaths are related to some high level forgery involving works of the poet Percy Bysshe Shelley, and Oxford dons addicted to gambling.<br /><br />Music to Die For - Whilst investigating the murder of an elderly gay lecturer, Lewis finds connections to the world of underground amateur boxing, the East German Secret Police (Stasi), and even Lewis' old mentor Morse. Poor Lewis gets sort of entangled with a beautiful German, but are her motives purely romantic?<br /><br />Life Born of Fire - The death of a gay student, gay bashing, and college politics get to Hathaway since the dead student also happened to be Hathaway's friend and former classmate. There are some truly strange twists in this one.<br /><br />The Great and the Good - An intriguing episode. A young girl Beatrice is found drugged and a victim of rape, and evidence points to a certain Oswald Cooper, who himself ends up garrotted and castrated. The question is: who is the killer and what is the motive?<br /><br />Allegory of Love - A mysterious young woman is found killed, the weapon being an antique Persian mirror. This resembles a scene found in a historical novel written by up and coming Oxford author, Dorian Crane. Then another young woman is threatened, leading Lewis and Hathaway on a desperate search for the truth.<br /><br />The Quality of Mercy - death and Shakespeare meet when the actor playing the role of Shylock in The Merchant of Venice is found murdered. When another murder occurs, Lewis and Hathaway find their hands full as the list of suspects gets longer.<br /><br />The Point of Vanishing - Curious case of a man killed in his own bathtub.<br /><br />I'd recommend the Inspector Lewis series to any fan of quality British crime procedurals.ilst investigating the murder of an elderly gay lecturer, Lewis finds connections to the world of underground amateur boxing, the East German Secret Police (Stasi), and even Lewis' old mentor Morse. Poor Lewis gets sort of entangled with a beautiful German, but are her motives purely romantic?<br /><br />Life Born of Fire - The death of a gay student, gay bashing, and college politics get to Hathaway since the dead student also happened to be Hathaway's friend and former classmate. There are some truly strange twists in this one.<br /><br />The Great and the Good - An intriguing episode. A young girl Beatrice is found drugged and a victim of rape, and evidence points to a certain Oswald Cooper, who himself ends up garrotted and castrated. The question is: who is the killer and what is the motive?<br /><br />Allegory of Love - A mysterious young woman is found killed, the weapon being an antique Persian mirror. This resembles a scene found in a historical novel written by up and coming Oxford author, Dorian Crane. Then another young woman is threatened, leading Lewis and Hathaway on a desperate search for the truth.<br /><br />The Quality of Mercy - death and Shakespeare meet when the actor playing the role of Shylock in The Merchant of Venice is found murdered. When another murder occurs, Lewis and Hathaway find their hands full as the list of suspects gets longer.<br /><br />The Point of Vanishing - Curious case of a man killed in his own bathtub.<br /><br />I'd recommend the Inspector Lewis series to any fan of quality British crime procedurals.",2012-04-08,855,extra_long,2012-04,videos
US,10366214,R3DXVCE0HEUVLC,B0054W4JQK,465996227,Before I Go To Sleep,Digital_Ebook_Purchase,4,0,1,False,True,Surprising End,"The start of the book was interesting, then half way through I began to think it was getting predictable and a little boring, but I kept going and the little twist at the end made it for me.",2012-05-26,38,short,2012-05,ebooks
US,15355503,RQZMZFDSAGADS,B00822X7OY,810428534,Square Enix Ultimate Collection [Download],Digital_Video_Games,5,1,3,False,True,$7.49 for 5 games? Amazo.com is THE BEST!,"this is the Biggest deal on amazon.com about games for PC . i mean 5 games! you can use the codes for Steam (no for Tomb Raider Underworld) , so you can have the Achivments of Steam and keep the sync on the cloud . Buy this make amazon give us more deals like this one. I love YOU AMAZON.com :)",2012-05-19,61,medium,2012-05,games
US,15526727,RECG1YZ46MM0V,B005S4Y13K,70285996,TurboTax Deluxe Federal + E-file + State 2011 [Old Version],Digital_Software,4,0,0,False,True,No issues with download/install,"Just downloaded and installed and it took 5 minutes total including the usual 1st run updates (cable modem, Win7 64-bit, i5 CPU, and .NET framework already installed).  Transferred last years info with no issues.  Did not go beyond that yet thus the 4-starts.",2012-01-27,43,short,2012-01,software
US,38097415,R1SKCVKCY3F8CD,B0064TYRAU,771851250,Mass Effect 3,Digital_Video_Games,1,11,17,False,False,please do not support,"This game is, without a doubt, absolutely brilliant. The gameplay is smooth and very addicting--I spent over 4 hours on one session, and I'm sure many have logged more. I love the combat options and the overall difficulty. Some of the scenes in this are breathtaking and show just how far video games have come. HOWEVER, the ending cancels EVERYTHING out. All the hard work and effort you put forth is erased in the last twenty minutes or so of the game. You will walk away feel disheartened, discouraged, and betrayed by the sloppiness BioWare put forth. This game is a crying shame, because a) BioWare has always been brilliant in the past b) the rest of the game is spectacular c)if you, like me, have played since Mass Effect 1, you have become so invested in the series that the thought of this being canon will destroy you like a warp to singularity.",2012-03-17,154,medium,2012-03,games
US,17889184,RG4NQDBP15PJI,B0054SCT8E,488569208,Journey of Hope [Download],Digital_Video_Games,3,3,5,False,True,wasn't crazy about this one,I have bought better games. I just wasn't that impressed with this one. I thought it would be a little more involved than it was.,2012-02-08,25,short,2012-02,games
US,52437079,RHI5V7S836Y7Q,B005HYIB1O,133033475,Quicken Premier 2012,Digital_Software,2,2,2,False,False,This is what the world has come to.,"After many happy years with Money (stuck at 2003), being able to manage my financials in a superlative and reliable fashion, the removal of support for is its simple institutional integration forced me to bite the bullet and move to... well, all there is now is Mint and Quicken (now a unified Monopoly, the same one that killed the simple earlier integration with promises of improvement).<br /><br />It is quite possible that at one point Quicken was as good, but the current product is a nightmare of epic proportions. It would appear that after obviously cornering the market, Intuit has done nothing to leverage that into a superior product, instead it degrades with nothing of value left to compare it to. Here is a case where the free market has failed.<br /><br />May I remind everyone, it is pretty simple: a date, a description, a credit or debit amount. And yet, this basic idea is lost in a maze of complexity inundated with failures.<br /><br />While I find he interface poorly designed, a legacy set of junk that appears to have grow over the years such that the basics have fallen through the cracks, I need not waste my time on looking there. Why? Because I can't get my data in, nor trust what is there will be useful in the future.<br /><br />To start, bringing in any of the history we all have requires one to jump though creative nightmarish hoops, for which the result is crap shoot (in the end I made a new \""cash account\"" and imported one account at a time there and \""cut 'n paste\"" into other accounts). Should one get in (either via luck with importing games or by throwing in the towel and abandoning your history), anything goes wrong and you are at the mercy of losing everything due to the complexity. Here, after 30 years of programming, I am entitle to jump to conclusions here about the cause: legacy complexity of too many esoteric features overwhelming the basics.<br /><br />The most important point of a product like this is to gather this simple information from all the varied account interfaces (checking, savings, credit cards, brokerage, retirement) into one central interface. Yet institutional integration is hit or miss, with neither institutions nor Intuit caring.<br /><br />Face it: no one is going to type in all their transactions. So, you darn well better be sure your institution works with Quicken or it will be useless. And, when it breaks, do not expect a fix - you are back to manual. This is the Achilles heel: you can't trust it with your history because you don't know what will happen tomorrow.<br /><br />My conclusions are based on my own experience. My Bank Account would not download until after about 20 useless emails with support over 1 month, where they barely read anything I wrote. In the end I found the problem with Quicken (could not handle two accounts on one institution with the same \""account name\"") by learning about and deciphering the Quicken logs I had sent them. After this they did not care about knowing this shortcoming. And the, one of my three credit cards that was supported was sold to another company without my consent... not supported any longer, and so now what do I do with that history and future? Finally, my major 401k at ADP (not a small company, I am sure you have heard of them) is not supported. Do they care? Will it be? Nope.<br /><br />My conclusions are further supported by searching and finding that this is the same for zillions. How can it be that a company with a Monopoly in this market space gets mediocre and less reviews from most users? It is embarrassing.<br /><br />There are many of you that use Quicken and have settled into a routine since you were lucky enough to find \""things that worked\"". More power to you. But it is just a matter time before it goes bad for you. Probably the next \""forced\"" upgrade, and/or when your financial institution is sold to another in this current way Wall St works.<br /><br />As for new users considering this product: good luck, maybe you to will get\""in\"". But, again, your future is dismal.<br /><br />And for all of us, there is no hope in view. We are worse off than a decade ago, and with each release Quicken deteriorates as shown by intelligent reviews of those who have been with it for years. Alternatively Mint is barely holding on, for those willing to trust all their data to the \""Mint\"" server which could go offline any time just like Intuit's previous online money site \""Quicken Online\"".<br /><br />What am I doing? Well, struggling with Quicken and Mint in parallel daily, hoping to \""survive\"". What a wonderful set of products.",2012-06-02,808,extra_long,2012-06,software
US,42158096,RALY8YBIFXNU6,B005JWGDI2,27083616,Wrecked,Digital_Video_Download,3,2,3,False,False,fairly engaging tale of survival and discovery...,"Wrecked (2010) features a man (Adrien Brody) who recovers consciousness in a car that has crashed in a wooded area, and finds himself trapped inside, with only a hazy recollection of how he may have arrived there.  As events unfold, some things become clearer, as the man who has no name, regains some memory.  He also hallucinates however, so you can't always believe what you see.<br /><br />Awaking in the front passenger seat of a vehicle that has crashed, the man finds that his head is bleeding and his legs wedged in under the dashboard.  Through the partially broken windshield, the body of another man lying in the woods is visible, and there is also a dead man in the back seat.  Searching the car, the man finds a revolver, and later imagines that he has been discovered by a woman (Caroline Dhavernas).<br /><br />Eventually, the man is able to force his way out of the vehicle, and splint his apparently fractured leg.  He finds bags stuffed with cash in the trunk, and also makes friends with a large dog.  After recovering enough to travel, he crawls off into the woods to try and find help.  You would assume that a road is nearby above where the car rests, but the man heads in a different direction.  In another questionable move, he attempts to cross a river, and is swept away, coming ashore far downstream.<br /><br />Featuring a nice mix of adventure, mystery, and fantasy, Wrecked is very slow burn that manages to be a mostly interesting watch, while manipulating its audience.  In an intriguing role, where he is in front of the camera for nearly the entire movie, Adrien Broady comes off as fairly credible.  The presence of the dog provides a reason for the man to speak, so he doesn't appear as someone who habitually talks to himself.  You soon come not to trust everything you see, as the fantasy segments keep you off balance, and certain developments, like the appearances of a hungry cougar, and the discovery various objects including a cell phone and several corpses, push the limits of believability.<br /><br />While perhaps not a movie that you will want to buy on DVD, Wrecked is worth a watch on Amazon Prime, for Adrien Brody's semi-edgy performance.  The resolution plays out well enough, but may not be entirely satisfying.s, push the limits of believability.<br /><br />While perhaps not a movie that you will want to buy on DVD, Wrecked is worth a watch on Amazon Prime, for Adrien Brody's semi-edgy performance.  The resolution plays out well enough, but may not be entirely satisfying.",2012-04-08,437,long,2012-04,videos
US,48920854,R15CRLXRXMR84Q,B0060AY6FO,812972293,Death Comes to Pemberley,Digital_Ebook_Purchase,1,48,53,False,False,Complete disappointment.,"For those seeking a review that helps them to decide whether or not to buy this book, my short answer is don't. I'm saddened to have read this awful, awful book. Sad. I want my innocence and time back.<br /><br />I heard an NPR review of the book that glowed, and loved the idea of a sequel to the Austin novel, Pride & Prejudice; a favorite of mine. I love good writing and good stories. The Taipan novels of Clavell, the Dune novels of Hubert, the Potter stories of Rowling, the LORT series by Tolkien; intricate, well thought out, intriguing characters, absorbing plotlines, wry humor, elegant wording. Austin is a master of such stories, even though I have latent wishes for her novels. Much of the action tends to happen \""off-stage\"" in her books and we meet only to hear it talked about. Some of her characters are frustratingly slow to learn. Still, I read and reread P&P to be entertained and entrained once again by Darcy and Elizabeth.<br /><br />So, naturally a glowing recommendation on NPR and the prospect of a sequel to a favorite book caught my interest. Stupidly assuming it would be at least entertaining, I bought the book as a Christmas gift for my girlfriend. She read it, and I noticed as she did that she didn't seem impressed. Since it was a gift, she tried not to pan it to me. I quickly read it after her and came to a better understanding of her reaction to it.<br /><br />The book is awful.  Yes, its a disappointment, as some reviewers have said. P.D. James has used the Austin characters without giving them anything like the life or personality they had in the original. P.D. James laboriously restated the events of its prequel (as a matter of the fact, much of the book is a poorer retelling of the previous book) only to plug them into a boring, lifeless new plot. I haven't read any other James' books, but I understand from disappointed reviewers that her other mysteries are detailed, painstaking and gripping; none of these qualities pertained to Death Comes to Pemberley. So, yes the book disappoints expectations. Perhaps my expectations and hopes were high. I tried to consider that any sequel wasn't likely to have Austins flair or pinache, but I still hoped to spend time with my characters again. However, disappointment isn't why I'm giving this the lowest rating I'm allowed. The story is simply awful on every front, in every way. As a novel, a story, everything it fails. I imagine that I can give James only as much credit as one would give a school child for handing in a report: she finished and published a book. That's some kind of an accomplishment. But I can offer little more respect than that.<br /><br />Darcy is made out to be wimpy and relatively unintelligent. Elizabeth has lost her fire and is suddenly a helpless chick who can do little but feel and get lost in thought about times gone by. Colonel Fitzwilliam has become an a-hole. Georgiana is still sweet, smarter, but mis-used in the story, which I'll get to in a moment. Jane is Jane, thank god, but rendered impotent, even problematic by the story. Bingley is loyal but vapid, which is disappointing because you'd expect him to have grown over the years. And Pemberly, which was heaven in P&P, is suddenly besieged by a dangerous forest. That's the character problems. But all sorts of plot points get skewed or unmade as well. What seems to be a deliberate effort is made to exclude the character of Georgiana from an evening of crazy events, building tension around her significance. Then, when she reappears, and throughout the remainder of the book, she is virtually useless and unimportant. A sub-plot is introduced in which Georgiana may choose between two possible suitors, but her preference becomes quite clear in the beginning, never wavers, and the reader is not directed to want it to, ever. All sorts of attention is paid to questions of evidence in the murder, and then the trial becomes all about circumstance and character. Much ado is made of Darcy's reluctance tospeak and torture over whether or not to defend his brother in law, Wickham, then he just does it.<br /><br />As a mystery this book fails to allow the reader to try to work things out on their own. The truly great mysteries give you everything in the story that you need to understand what happened, but somehow still conceal the whole truth, usually by playing with the order in which you get it. The reveal is fun and frustrating because you know you were close to figuring it out, and suddenly realize it was all there. That's fun. It's impressive to feel the detective character was able to work it out, and the author leaves you impressed that they were able to write a gripping story while carefully diverting your attention enough to keep it a mystery to the end.<br /><br />The reveal of Death Comes to Pemberley is utterly obscure, and dull on top of it. No one's really to blame; no one is revealed to have been secretly not what they seemed; much of the truth is only introduced in the reveal so there would have been no way to figure it out beforehand, and justice doesn't appear to be served.  There's no thrill.  There's no frustrating but fun realization. I was left frowning and horrified. \""Is that it?!\"" I exclaimed out loud to my self, and checked the last leafs of paper to see if there was any indication of more story. I couldn't believe I had been so completely let down.<br /><br />So, my frustration is partly with the author. Shame on you P.D. James. For shame.  You can not have possibly written any good books and made a name for yourself and not known how truly awful this book is. So, you phoned something in to try to get a little more money in your old age and knew perfectly well that you were publishing crap. For shame. And to involve Austin's novels in it is double-shame. One might almost think there's a secret hatred or jealousy at work. That at least would be an interesting mystery; better than your book was.  But my great concern is that this book was ever recommended by anyone. What could possibly have happened in these people's minds?  The characters weren't the characters of Austin's novel, so how could they have been entertaining to people who missed them?  The mystery wasn't mysterious, so how could it have garnered appreciation from those who thrill for a good mystery?  The book was laborious and redundant, so how could it be lauded as well written or particularly original?<br /><br />I have to conclude that my suspicion that the publishing industry has a network of fake supporters that are paid to seem like word-of-mouth is actually well in force. No one with any taste or experience in reading would consider this book worth anything better than kindling. It has to be paid talking heads or tasteless pop culture mavins that give this book any credence.<br /><br />Don't fall for it. Please, save yourself!<br /><br />I remember when I started buying Frank Herbert's son's prequels to the Dune books. After Frank Herbert died, his son supposedly discovered a vault of notes his father had made for continuing books in the series and took it upon himself, along with some other professional writer, to continue the tradition.  He chose to write a number of prequels to the original best-selling book, and I suppose eventually write later parts. I purchased and read 2 or 3 of these prequels before I gave up. I couldn't stand anymore to have these characters I loved so badly marred. I couldn't stand to have the worlds of Dune so insipidly drained of color and value. I couldn't bear the hope of an interesting plot point repeatedly failing to deliver. I wanted to remember the Dune series as it was, so I stopped reading the bad stuff, and I haven't followed what happened to the son since.  I recommend to you readers that you leave the P&P as it was.<br /><br />I've read reviews that indicate that other people have attempted sequels, and I believe that a good one is possible. Perhaps there's an interesting one out there. I wish Icould rely on reviews and professional critics to help me find one. They've clearly failed in this case. But if there is a sequel to P&P that's fun and interesting, this book isn't it.<br /><br />Hope I've been clear. Hope this helps.ple's minds?  The characters weren't the characters of Austin's novel, so how could they have been entertaining to people who missed them?  The mystery wasn't mysterious, so how could it have garnered appreciation from those who thrill for a good mystery?  The book was laborious and redundant, so how could it be lauded as well written or particularly original?  I have to conclude that my suspicion that the publishing industry has a network of fake supporters that are paid to seem like word-of-mouth is actually well in force. No one with any taste or experience in reading would consider this book worth anything better than kindling. It has to be paid talking heads or tasteless pop culture mavins that give this book any credence.  Don't fall for it. Please, save yourself!  I remember when I started buying Frank Herbert's son's prequels to the Dune books. After Frank Herbert died, his son supposedly discovered a vault of notes his father had made for continuing books in the series and took it upon himself, along with some other professional writer, to continue the tradition.  He chose to write a number of prequels to the original best-selling book, and I suppose eventually write later parts. I purchased and read 2 or 3 of these prequels before I gave up. I couldn't stand anymore to have these characters I loved so badly marred. I couldn't stand to have the worlds of Dune so insipidly drained of color and value. I couldn't bear the hope of an interesting plot point repeatedly failing to deliver. I wanted to remember the Dune series as it was, so I stopped reading the bad stuff, and I haven't followed what happened to the son since.  I recommend to you readers that you leave the P&P as it was.  I've read reviews that indicate that other people have attempted sequels, and I believe that a good one is possible. Perhaps there's an interesting one out there. I wish I could rely on reviews and professional critics to help me find one. They've clearly failed in this case. Butif there is a sequel to P&P that's fun and interesting, this book isn't it.  Hope I've been clear. Hope this helps.",2012-01-31,1820,extra_long,2012-01,ebooks
US,11891572,R2WL8B8RRMOD8N,B009PNLAAW,750879807,Absolutely Great Square Pack [Download],Digital_Video_Games,4,6,13,False,False,Beef up the order process,I have been trying to get this deal almost none stop since yesterday morning and got nothing but errors the whole time. I actually managed once to get it in my cart and then when i went to pay that errors out and I lost the whole order. Really bummed to not get the deal when some friends did and all these games are all available still if I want to buy them individually. GG Amazon.<br /><br />UPDATE: got a copy! But it was still a nightmare so only 4 stars!,2012-10-16,91,medium,2012-10,games
